date,home,away,home_score,away_score,neutral,tournament,city,country
2020-09-07,Austria,Romania,2.0,3.0,False,UEFA Nations League,Klagenfurt,Austria
2020-09-07,Czechia,Scotland,1.0,2.0,False,UEFA Nations League,Olomouc,Czech Republic
2020-09-08,Belgium,Iceland,5.0,1.0,False,UEFA Nations League,Brussels,Belgium
2020-09-08,Denmark,England,0.0,0.0,False,UEFA Nations League,Copenhagen,Denmark
2020-09-08,France,Croatia,4.0,2.0,False,UEFA Nations League,Paris,France
2020-09-08,Sweden,Portugal,0.0,2.0,False,UEFA Nations League,Stockholm,Sweden
2020-10-07,Andorra,Cabo Verde,1.0,2.0,False,Friendly,Andorra la Vella,Andorra
2020-10-07,Austria,Greece,2.0,1.0,False,Friendly,Klagenfurt,Austria
2020-10-07,Cyprus,Czechia,1.0,2.0,False,Friendly,Larnaca,Cyprus
2020-10-07,France,Ukraine,7.0,1.0,False,Friendly,Paris,France
2020-10-07,Germany,Türkiye,3.0,3.0,False,Friendly,Cologne,Germany
2020-10-07,Netherlands,Mexico,0.0,1.0,False,Friendly,Amsterdam,Netherlands
2020-10-07,Portugal,Spain,0.0,0.0,False,Friendly,Lisbon,Portugal
2020-10-07,Switzerland,Croatia,1.0,2.0,False,Friendly,St. Gallen,Switzerland
2020-10-08,Belgium,Côte d'Ivoire,1.0,1.0,False,Friendly,Brussels,Belgium
2020-10-08,England,Wales,3.0,0.0,False,Friendly,London,England
2020-10-08,Russia,Sweden,1.0,2.0,False,Friendly,Moscow,Russia
2020-10-08,South Africa,Namibia,1.0,1.0,False,Friendly,Rustenburg,South Africa
2020-10-08,Uzbekistan,Iran,1.0,2.0,False,Friendly,Tashkent,Uzbekistan
2020-10-08,Paraguay,Peru,2.0,2.0,False,FIFA World Cup qualification,Asunción,Paraguay
2020-10-08,Uruguay,Chile,2.0,1.0,False,FIFA World Cup qualification,Montevideo,Uruguay
2020-10-08,Argentina,Ecuador,1.0,0.0,False,FIFA World Cup qualification,Buenos Aires,Argentina
2020-10-08,Bosnia and Herzegovina,Northern Ireland,1.0,1.0,False,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina
2020-10-08,Scotland,Israel,0.0,0.0,False,UEFA Euro qualification,Glasgow,Scotland
2020-10-08,Norway,Serbia,1.0,2.0,False,UEFA Euro qualification,Oslo,Norway
2020-10-09,Burkina Faso,Congo DR,3.0,0.0,True,Friendly,Mohammedia,Morocco
2020-10-09,Japan,Cameroon,0.0,0.0,True,Friendly,Utrecht,Netherlands
2020-10-09,Mali,Ghana,3.0,0.0,True,Friendly,Antalya,Turkey
2020-10-09,Morocco,Senegal,3.0,1.0,False,Friendly,Rabat,Morocco
2020-10-09,Nigeria,Algeria,0.0,1.0,True,Friendly,Klagenfurt,Austria
2020-10-09,Tunisia,Sudan,3.0,0.0,False,Friendly,Radès,Tunisia
2020-10-09,Colombia,Venezuela,3.0,0.0,False,FIFA World Cup qualification,Barranquilla,Colombia
2020-10-09,Brazil,Bolivia,5.0,0.0,False,FIFA World Cup qualification,São Paulo,Brazil
2020-10-10,Spain,Switzerland,1.0,0.0,False,UEFA Nations League,Madrid,Spain
2020-10-10,Ukraine,Germany,1.0,2.0,False,UEFA Nations League,Kyiv,Ukraine
2020-10-10,Cabo Verde,Guinea,1.0,2.0,True,Friendly,Faro-Loulé,Portugal
2020-10-10,Costa Rica,Panama,0.0,1.0,False,Friendly,San José,Costa Rica
2020-10-11,Bosnia and Herzegovina,Netherlands,0.0,0.0,False,UEFA Nations League,Zenica,Bosnia and Herzegovina
2020-10-11,England,Belgium,2.0,1.0,False,UEFA Nations League,London,England
2020-10-11,Croatia,Sweden,2.0,1.0,False,UEFA Nations League,Zagreb,Croatia
2020-10-11,France,Portugal,0.0,0.0,False,UEFA Nations League,Paris,France
2020-10-11,Norway,Romania,4.0,0.0,False,UEFA Nations League,Oslo,Norway
2020-10-11,Northern Ireland,Austria,0.0,1.0,False,UEFA Nations League,Belfast,Northern Ireland
2020-10-11,Scotland,Slovakia,1.0,0.0,False,UEFA Nations League,Glasgow,Scotland
2020-10-11,Israel,Czechia,1.0,2.0,False,UEFA Nations League,Haifa,Israel
2020-10-11,Russia,Türkiye,1.0,1.0,False,UEFA Nations League,Moscow,Russia
2020-10-11,South Africa,Zambia,1.0,2.0,False,Friendly,Rustenburg,South Africa
2020-10-12,Ghana,Qatar,5.0,1.0,True,Friendly,Aksu,Turkey
2020-10-12,United Arab Emirates,Uzbekistan,1.0,2.0,False,Friendly,Dubai,United Arab Emirates
2020-10-13,Germany,Switzerland,3.0,3.0,False,UEFA Nations League,Cologne,Germany
2020-10-13,Ukraine,Spain,1.0,0.0,False,UEFA Nations League,Kyiv,Ukraine
2020-10-13,Costa Rica,Panama,0.0,1.0,False,Friendly,San José,Costa Rica
2020-10-13,Japan,Côte d'Ivoire,1.0,0.0,True,Friendly,Utrecht,Netherlands
2020-10-13,Mexico,Algeria,2.0,2.0,True,Friendly,The Hague,Netherlands
2020-10-13,Morocco,Congo DR,1.0,1.0,False,Friendly,Rabat,Morocco
2020-10-13,Nigeria,Tunisia,1.0,1.0,True,Friendly,Sankt Veit an der Glan,Austria
2020-10-13,Bolivia,Argentina,1.0,2.0,False,FIFA World Cup qualification,La Paz,Bolivia
2020-10-13,Ecuador,Uruguay,4.0,2.0,False,FIFA World Cup qualification,Quito,Ecuador
2020-10-13,Venezuela,Paraguay,0.0,1.0,False,FIFA World Cup qualification,Mérida,Venezuela
2020-10-13,Peru,Brazil,2.0,4.0,False,FIFA World Cup qualification,Lima,Peru
2020-10-13,Chile,Colombia,2.0,2.0,False,FIFA World Cup qualification,Santiago,Chile
2020-10-14,Italy,Netherlands,1.0,1.0,False,UEFA Nations League,Bergamo,Italy
2020-10-14,Poland,Bosnia and Herzegovina,3.0,0.0,False,UEFA Nations League,Wrocław,Poland
2020-10-14,Iceland,Belgium,1.0,2.0,False,UEFA Nations League,Reykjavík,Iceland
2020-10-14,England,Denmark,0.0,1.0,False,UEFA Nations League,London,England
2020-10-14,Portugal,Sweden,3.0,0.0,False,UEFA Nations League,Lisbon,Portugal
2020-10-14,Croatia,France,1.0,2.0,False,UEFA Nations League,Zagreb,Croatia
2020-10-14,Norway,Northern Ireland,1.0,0.0,False,UEFA Nations League,Oslo,Norway
2020-10-14,Romania,Austria,0.0,1.0,False,UEFA Nations League,Ploiești,Romania
2020-10-14,Scotland,Czechia,1.0,0.0,False,UEFA Nations League,Glasgow,Scotland
2020-10-14,Türkiye,Serbia,2.0,2.0,False,UEFA Nations League,Istanbul,Turkey
2020-11-11,Belgium,Switzerland,2.0,1.0,False,Friendly,Leuven,Belgium
2020-11-11,Denmark,Sweden,2.0,0.0,False,Friendly,Brondbyvester,Denmark
2020-11-11,France,Finland,0.0,2.0,False,Friendly,Paris,France
2020-11-11,Germany,Czechia,1.0,0.0,False,Friendly,Leipzig,Germany
2020-11-11,Luxembourg,Austria,0.0,3.0,False,Friendly,Luxembourg,Luxembourg
2020-11-11,Netherlands,Spain,1.0,1.0,False,Friendly,Amsterdam,Netherlands
2020-11-11,Portugal,Andorra,7.0,0.0,False,Friendly,Lisbon,Portugal
2020-11-11,Türkiye,Croatia,3.0,3.0,False,Friendly,Istanbul,Turkey
2020-11-11,Senegal,Guinea-Bissau,2.0,0.0,False,African Cup of Nations qualification,Thiès,Senegal
2020-11-12,Serbia,Scotland,1.0,1.0,False,UEFA Euro qualification,Belgrade,Serbia
2020-11-12,Bosnia and Herzegovina,Iran,0.0,2.0,False,Friendly,Sarajevo,Bosnia and Herzegovina
2020-11-12,England,Ireland,3.0,0.0,False,Friendly,London,England
2020-11-12,Jordan,Iraq,0.0,0.0,True,Friendly,Dubai,United Arab Emirates
2020-11-12,Uzbekistan,Syria,0.0,1.0,True,Friendly,Sharjah,United Arab Emirates
2020-11-12,Wales,United States,0.0,0.0,False,Friendly,Cardiff,Wales
2020-11-12,Bolivia,Ecuador,2.0,3.0,False,FIFA World Cup qualification,La Paz,Bolivia
2020-11-12,Argentina,Paraguay,1.0,1.0,False,FIFA World Cup qualification,Buenos Aires,Argentina
2020-11-12,Ghana,Sudan,2.0,0.0,False,African Cup of Nations qualification,Cape Coast,Ghana
2020-11-12,Cabo Verde,Rwanda,0.0,0.0,False,African Cup of Nations qualification,Praia,Cape Verde
2020-11-12,Algeria,Zimbabwe,3.0,1.0,False,African Cup of Nations qualification,Algiers,Algeria
2020-11-12,Côte d'Ivoire,Madagascar,2.0,1.0,False,African Cup of Nations qualification,Ebimpé,Ivory Coast
2020-11-13,Costa Rica,Qatar,1.0,1.0,True,Friendly,Maria Enzersdorf,Austria
2020-11-13,Japan,Panama,1.0,0.0,True,Friendly,Graz,Austria
2020-11-13,Colombia,Uruguay,0.0,3.0,False,FIFA World Cup qualification,Barranquilla,Colombia
2020-11-13,Brazil,Venezuela,1.0,0.0,False,FIFA World Cup qualification,São Paulo,Brazil
2020-11-13,South Africa,São Tomé and Príncipe,2.0,0.0,False,African Cup of Nations qualification,Durban,South Africa
2020-11-13,Morocco,Central African Republic,4.0,1.0,False,African Cup of Nations qualification,Casablanca,Morocco
2020-11-13,Tunisia,Tanzania,1.0,0.0,False,African Cup of Nations qualification,Radès,Tunisia
2020-11-14,Portugal,France,0.0,1.0,False,UEFA Nations League,Lisbon,Portugal
2020-11-14,Sweden,Croatia,2.0,1.0,False,UEFA Nations League,Stockholm,Sweden
2020-11-14,Germany,Ukraine,3.0,1.0,False,UEFA Nations League,Leipzig,Germany
2020-11-14,Switzerland,Spain,1.0,1.0,False,UEFA Nations League,Basel,Switzerland
2020-11-14,Mexico,Korea Republic,3.0,2.0,True,Friendly,Wiener Neustadt,Austria
2020-11-14,Saudi Arabia,Jamaica,3.0,0.0,False,Friendly,Riyadh,Saudi Arabia
2020-11-14,Congo DR,Angola,0.0,0.0,False,African Cup of Nations qualification,Kinshasa,DR Congo
2020-11-14,Egypt,Togo,1.0,0.0,False,African Cup of Nations qualification,Cairo,Egypt
2020-11-15,Netherlands,Bosnia and Herzegovina,3.0,1.0,False,UEFA Nations League,Amsterdam,Netherlands
2020-11-15,Belgium,England,2.0,0.0,False,UEFA Nations League,Leuven,Belgium
2020-11-15,Austria,Northern Ireland,2.0,1.0,False,UEFA Nations League,Vienna,Austria
2020-11-15,Romania,Norway,3.0,0.0,False,UEFA Nations League,Bucharest,Romania
2020-11-15,Slovakia,Scotland,1.0,0.0,False,UEFA Nations League,Trnava,Slovakia
2020-11-15,Czechia,Israel,1.0,0.0,False,UEFA Nations League,Plzeň,Czech Republic
2020-11-15,Türkiye,Russia,3.0,2.0,False,UEFA Nations League,Istanbul,Turkey
2020-11-15,Guinea-Bissau,Senegal,0.0,1.0,False,African Cup of Nations qualification,Bissau,Guinea-Bissau
2020-11-16,Jordan,Syria,1.0,0.0,True,Friendly,Sharjah,United Arab Emirates
2020-11-16,United States,Panama,6.0,2.0,True,Friendly,Wiener Neustadt,Austria
2020-11-16,South Africa,São Tomé and Príncipe,4.0,2.0,False,African Cup of Nations qualification,Port Elizabeth,South Africa
2020-11-16,Zimbabwe,Algeria,2.0,2.0,False,African Cup of Nations qualification,Harare,Zimbabwe
2020-11-17,Croatia,Portugal,2.0,3.0,False,UEFA Nations League,Split,Croatia
2020-11-17,France,Sweden,4.0,2.0,False,UEFA Nations League,Paris,France
2020-11-17,Spain,Germany,6.0,0.0,False,UEFA Nations League,Seville,Spain
2020-11-17,Switzerland,Ukraine,3.0,0.0,False,UEFA Nations League,Lucerne,Switzerland
2020-11-17,Japan,Mexico,0.0,2.0,True,Friendly,Graz,Austria
2020-11-17,Korea Republic,Qatar,2.0,1.0,True,Friendly,Maria Enzersdorf,Austria
2020-11-17,Saudi Arabia,Jamaica,1.0,2.0,False,Friendly,Riyadh,Saudi Arabia
2020-11-17,Uzbekistan,Iraq,1.0,2.0,True,Friendly,Dubai,United Arab Emirates
2020-11-17,Ecuador,Colombia,6.0,1.0,False,FIFA World Cup qualification,Quito,Ecuador
2020-11-17,Peru,Argentina,0.0,2.0,False,FIFA World Cup qualification,Lima,Peru
2020-11-17,Paraguay,Bolivia,2.0,2.0,False,FIFA World Cup qualification,Asunción,Paraguay
2020-11-17,Uruguay,Brazil,0.0,2.0,False,FIFA World Cup qualification,Montevideo,Uruguay
2020-11-17,Sudan,Ghana,1.0,0.0,False,African Cup of Nations qualification,Omdurman,Sudan
2020-11-17,Angola,Congo DR,0.0,1.0,False,African Cup of Nations qualification,Luanda,Angola
2020-11-17,Central African Republic,Morocco,0.0,2.0,True,African Cup of Nations qualification,Douala,Cameroon
2020-11-17,Rwanda,Cabo Verde,0.0,0.0,False,African Cup of Nations qualification,Kigali,Rwanda
2020-11-17,Togo,Egypt,1.0,3.0,False,African Cup of Nations qualification,Lomé,Togo
2020-11-17,Tanzania,Tunisia,1.0,1.0,False,African Cup of Nations qualification,Dar es Salaam,Tanzania
2020-11-17,Madagascar,Côte d'Ivoire,1.0,1.0,False,African Cup of Nations qualification,Toamasina,Madagascar
2020-11-18,Bosnia and Herzegovina,Italy,0.0,2.0,False,UEFA Nations League,Sarajevo,Bosnia and Herzegovina
2020-11-18,Poland,Netherlands,1.0,2.0,False,UEFA Nations League,Chorzów,Poland
2020-11-18,England,Iceland,4.0,0.0,False,UEFA Nations League,London,England
2020-11-18,Belgium,Denmark,4.0,2.0,False,UEFA Nations League,Leuven,Belgium
2020-11-18,Austria,Norway,1.0,1.0,False,UEFA Nations League,Vienna,Austria
2020-11-18,Czechia,Slovakia,2.0,0.0,False,UEFA Nations League,Plzeň,Czech Republic
2020-11-18,Israel,Scotland,1.0,0.0,False,UEFA Nations League,Netanya,Israel
2020-11-18,Hungary,Türkiye,2.0,0.0,False,UEFA Nations League,Budapest,Hungary
2020-12-04,Qatar,Bangladesh,5.0,0.0,False,FIFA World Cup qualification,Doha,Qatar
2020-12-09,United States,El Salvador,6.0,0.0,False,Friendly,Fort Lauderdale,United States
2021-01-12,United Arab Emirates,Iraq,0.0,0.0,False,Friendly,Dubai,United Arab Emirates
2021-01-27,Iraq,Kuwait,2.0,1.0,False,Friendly,Basra,Iraq
2021-01-28,Panama,Serbia,0.0,0.0,False,Friendly,Panama City,Panama
2021-01-31,United States,Trinidad and Tobago,7.0,0.0,False,Friendly,Orlando,United States
2021-02-01,Jordan,Tajikistan,2.0,0.0,True,Friendly,Dubai,United Arab Emirates
2021-02-05,Jordan,Tajikistan,0.0,1.0,True,Friendly,Dubai,United Arab Emirates
2021-02-15,Jordan,Uzbekistan,0.0,2.0,True,Friendly,Dubai,United Arab Emirates
2021-03-20,Oman,Jordan,0.0,0.0,True,Friendly,Dubai,United Arab Emirates
2021-03-24,Jordan,Lebanon,1.0,0.0,True,Friendly,Dubai,United Arab Emirates
2021-03-24,Qatar,Luxembourg,1.0,0.0,True,Friendly,Debrecen,Hungary
2021-03-24,Portugal,Azerbaijan,1.0,0.0,True,FIFA World Cup qualification,Turin,Italy
2021-03-24,France,Ukraine,1.0,1.0,False,FIFA World Cup qualification,Paris,France
2021-03-24,Finland,Bosnia and Herzegovina,2.0,2.0,False,FIFA World Cup qualification,Helsinki,Finland
2021-03-24,Belgium,Wales,3.0,1.0,False,FIFA World Cup qualification,Leuven,Belgium
2021-03-24,Estonia,Czechia,2.0,6.0,True,FIFA World Cup qualification,Lublin,Poland
2021-03-24,Türkiye,Netherlands,4.0,2.0,False,FIFA World Cup qualification,Istanbul,Turkey
2021-03-24,Gibraltar,Norway,0.0,3.0,False,FIFA World Cup qualification,Gibraltar,Gibraltar
2021-03-24,Slovenia,Croatia,1.0,0.0,False,FIFA World Cup qualification,Ljubljana,Slovenia
2021-03-25,Japan,Korea Republic,3.0,0.0,False,Friendly,Yokohama,Japan
2021-03-25,Saudi Arabia,Kuwait,1.0,0.0,False,Friendly,Riyadh,Saudi Arabia
2021-03-25,United States,Jamaica,4.0,1.0,True,Friendly,Wiener Neustadt,Austria
2021-03-25,Canada,Bermuda,5.0,1.0,True,FIFA World Cup qualification,Orlando,United States
2021-03-25,Curaçao,Saint Vincent and the Grenadines,5.0,0.0,False,FIFA World Cup qualification,Willemstad,Curaçao
2021-03-25,Panama,Barbados,1.0,0.0,True,FIFA World Cup qualification,Santo Domingo,Dominican Republic
2021-03-25,Haiti,Belize,2.0,0.0,False,FIFA World Cup qualification,Port-au-Prince,Haiti
2021-03-25,Spain,Greece,1.0,1.0,False,FIFA World Cup qualification,Granada,Spain
2021-03-25,Sweden,Georgia,1.0,0.0,False,FIFA World Cup qualification,Stockholm,Sweden
2021-03-25,Bulgaria,Switzerland,1.0,3.0,False,FIFA World Cup qualification,Sofia,Bulgaria
2021-03-25,Scotland,Austria,2.0,2.0,False,FIFA World Cup qualification,Glasgow,Scotland
2021-03-25,England,San Marino,5.0,0.0,False,FIFA World Cup qualification,London,England
2021-03-25,Germany,Iceland,3.0,0.0,False,FIFA World Cup qualification,Duisburg,Germany
2021-03-25,South Africa,Ghana,1.0,1.0,False,African Cup of Nations qualification,Johannesburg,South Africa
2021-03-25,Gabon,Congo DR,3.0,0.0,False,African Cup of Nations qualification,Franceville,Gabon
2021-03-25,Kenya,Egypt,1.0,1.0,False,African Cup of Nations qualification,Nairobi,Kenya
2021-03-25,Zambia,Algeria,3.0,3.0,False,African Cup of Nations qualification,Lusaka,Zambia
2021-03-25,Libya,Tunisia,2.0,5.0,False,African Cup of Nations qualification,Benina,Libya
2021-03-26,Mauritania,Morocco,0.0,0.0,False,African Cup of Nations qualification,Nouakchott,Mauritania
2021-03-26,Cabo Verde,Cameroon,3.0,1.0,False,African Cup of Nations qualification,Praia,Cape Verde
2021-03-26,Congo,Senegal,0.0,0.0,False,African Cup of Nations qualification,Brazzaville,Congo
2021-03-26,Niger,Côte d'Ivoire,0.0,3.0,True,African Cup of Nations qualification,Lomé,Togo
2021-03-27,Bosnia and Herzegovina,Costa Rica,0.0,0.0,False,Friendly,Zenica,Bosnia and Herzegovina
2021-03-27,Qatar,Azerbaijan,2.0,1.0,True,Friendly,Debrecen,Hungary
2021-03-27,Wales,Mexico,1.0,0.0,False,Friendly,Cardiff,Wales
2021-03-27,Serbia,Portugal,2.0,2.0,False,FIFA World Cup qualification,Belgrade,Serbia
2021-03-27,Czechia,Belgium,1.0,1.0,False,FIFA World Cup qualification,Prague,Czech Republic
2021-03-27,Netherlands,Latvia,2.0,0.0,False,FIFA World Cup qualification,Amsterdam,Netherlands
2021-03-27,Norway,Türkiye,0.0,3.0,True,FIFA World Cup qualification,Málaga,Spain
2021-03-27,Croatia,Cyprus,1.0,0.0,False,FIFA World Cup qualification,Rijeka,Croatia
2021-03-28,Northern Ireland,United States,1.0,2.0,False,Friendly,Belfast,Northern Ireland
2021-03-28,Cuba,Curaçao,1.0,2.0,True,FIFA World Cup qualification,Guatemala City,Guatemala
2021-03-28,Dominica,Panama,1.0,2.0,True,FIFA World Cup qualification,Santo Domingo,Dominican Republic
2021-03-28,Georgia,Spain,1.0,2.0,False,FIFA World Cup qualification,Tbilisi,Georgia
2021-03-28,Kosovo,Sweden,0.0,3.0,False,FIFA World Cup qualification,Pristina,Kosovo
2021-03-28,Switzerland,Lithuania,1.0,0.0,False,FIFA World Cup qualification,St. Gallen,Switzerland
2021-03-28,Kazakhstan,France,0.0,2.0,False,FIFA World Cup qualification,Nur-Sultan,Kazakhstan
2021-03-28,Austria,Faroe Islands,3.0,1.0,False,FIFA World Cup qualification,Vienna,Austria
2021-03-28,Israel,Scotland,1.0,1.0,False,FIFA World Cup qualification,Tel Aviv,Israel
2021-03-28,Albania,England,0.0,2.0,False,FIFA World Cup qualification,Tirana,Albania
2021-03-28,Romania,Germany,0.0,1.0,False,FIFA World Cup qualification,Bucharest,Romania
2021-03-28,Ghana,São Tomé and Príncipe,3.0,1.0,False,African Cup of Nations qualification,Cape Coast,Ghana
2021-03-28,Sudan,South Africa,2.0,0.0,False,African Cup of Nations qualification,Omdurman,Sudan
2021-03-28,Tunisia,Equatorial Guinea,2.0,1.0,False,African Cup of Nations qualification,Radès,Tunisia
2021-03-29,Ecuador,Bolivia,2.0,1.0,False,Friendly,Guayaquil,Ecuador
2021-03-29,Uzbekistan,Iraq,0.0,1.0,False,Friendly,Tashkent,Uzbekistan
2021-03-29,Cayman Islands,Canada,0.0,11.0,True,FIFA World Cup qualification,Bradenton,United States
2021-03-29,Congo DR,Gambia,1.0,0.0,False,African Cup of Nations qualification,Kinshasa,DR Congo
2021-03-29,Egypt,Comoros,4.0,0.0,False,African Cup of Nations qualification,Cairo,Egypt
2021-03-29,Algeria,Botswana,5.0,0.0,False,African Cup of Nations qualification,Algiers,Algeria
2021-03-30,Bahrain,Jordan,1.0,2.0,False,Friendly,Riffa,Bahrain
2021-03-30,Costa Rica,Mexico,0.0,1.0,True,Friendly,Wiener Neustadt,Austria
2021-03-30,Iran,Syria,3.0,0.0,False,Friendly,Tehran,Iran
2021-03-30,Ireland,Qatar,1.0,1.0,True,Friendly,Debrecen,Hungary
2021-03-30,Luxembourg,Portugal,1.0,3.0,False,FIFA World Cup qualification,Luxembourg,Luxembourg
2021-03-30,Wales,Czechia,1.0,0.0,False,FIFA World Cup qualification,Cardiff,Wales
2021-03-30,Belgium,Belarus,8.0,0.0,False,FIFA World Cup qualification,Leuven,Belgium
2021-03-30,Gibraltar,Netherlands,0.0,7.0,False,FIFA World Cup qualification,Gibraltar,Gibraltar
2021-03-30,Montenegro,Norway,0.0,1.0,False,FIFA World Cup qualification,Podgorica,Montenegro
2021-03-30,Türkiye,Latvia,3.0,3.0,False,FIFA World Cup qualification,Istanbul,Turkey
2021-03-30,Croatia,Malta,3.0,0.0,False,FIFA World Cup qualification,Rijeka,Croatia
2021-03-30,Saudi Arabia,Palestine,5.0,0.0,False,FIFA World Cup qualification,Riyadh,Saudi Arabia
2021-03-30,Japan,Mongolia,14.0,0.0,False,FIFA World Cup qualification,Chiba,Japan
2021-03-30,Morocco,Burundi,1.0,0.0,False,African Cup of Nations qualification,Rabat,Morocco
2021-03-30,Mozambique,Cabo Verde,0.0,1.0,False,African Cup of Nations qualification,Maputo,Mozambique
2021-03-30,Senegal,Eswatini,1.0,1.0,False,African Cup of Nations qualification,Thiès,Senegal
2021-03-30,Côte d'Ivoire,Ethiopia,3.0,1.0,False,African Cup of Nations qualification,Abidjan,Ivory Coast
2021-03-31,Sweden,Estonia,1.0,0.0,False,Friendly,Stockholm,Sweden
2021-03-31,Switzerland,Finland,3.0,2.0,False,Friendly,St. Gallen,Switzerland
2021-03-31,Spain,Kosovo,3.0,1.0,False,FIFA World Cup qualification,Seville,Spain
2021-03-31,Bosnia and Herzegovina,France,0.0,1.0,False,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina
2021-03-31,Scotland,Faroe Islands,4.0,0.0,False,FIFA World Cup qualification,Glasgow,Scotland
2021-03-31,Austria,Denmark,0.0,4.0,False,FIFA World Cup qualification,Vienna,Austria
2021-03-31,England,Poland,2.0,1.0,False,FIFA World Cup qualification,London,England
2021-03-31,Germany,North Macedonia,1.0,2.0,False,FIFA World Cup qualification,Duisburg,Germany
2021-05-24,Iraq,Tajikistan,0.0,0.0,False,Friendly,Basra,Iraq
2021-05-24,United Arab Emirates,Jordan,5.0,1.0,False,Friendly,Dubai,United Arab Emirates
2021-05-27,Türkiye,Azerbaijan,2.0,1.0,False,Friendly,Alanya,Turkey
2021-05-28,Japan,Myanmar,10.0,0.0,False,FIFA World Cup qualification,Chiba,Japan
2021-05-29,Iraq,Nepal,6.0,2.0,False,Friendly,Basra,Iraq
2021-05-29,Mexico,Iceland,2.0,1.0,True,Friendly,Arlington,United States
2021-05-29,Sweden,Finland,2.0,0.0,False,Friendly,Stockholm,Sweden
2021-05-30,Switzerland,United States,2.0,1.0,False,Friendly,St. Gallen,Switzerland
2021-05-31,Jordan,Vietnam,1.0,1.0,True,Friendly,Sharjah,United Arab Emirates
2021-05-31,Türkiye,Guinea,0.0,0.0,False,Friendly,Antalya,Turkey
2021-06-01,Croatia,Armenia,1.0,1.0,False,Friendly,Velika Gorica,Croatia
2021-06-02,Bosnia and Herzegovina,Montenegro,0.0,0.0,False,Friendly,Sarajevo,Bosnia and Herzegovina
2021-06-02,England,Austria,1.0,0.0,False,Friendly,London,England
2021-06-02,France,Wales,3.0,0.0,False,Friendly,Nice,France
2021-06-02,Germany,Denmark,1.0,1.0,True,Friendly,Innsbruck,Austria
2021-06-02,Netherlands,Scotland,2.0,2.0,True,Friendly,São João da Venda,Portugal
2021-06-02,Norway,Luxembourg,1.0,0.0,True,Friendly,Málaga,Spain
2021-06-03,Algeria,Mauritania,4.0,1.0,False,Friendly,Blida,Algeria
2021-06-03,Belgium,Greece,1.0,1.0,False,Friendly,Brussels,Belgium
2021-06-03,Switzerland,Liechtenstein,7.0,0.0,False,Friendly,St. Gallen,Switzerland
2021-06-03,Türkiye,Moldova,2.0,0.0,True,Friendly,Paderborn,Germany
2021-06-03,Mexico,Costa Rica,0.0,0.0,True,CONCACAF Nations League,Denver,United States
2021-06-03,United States,Honduras,1.0,0.0,False,CONCACAF Nations League,Denver,United States
2021-06-03,Iran,Hong Kong,3.0,1.0,False,FIFA World Cup qualification,Arad,Iran
2021-06-03,Uruguay,Paraguay,0.0,0.0,False,FIFA World Cup qualification,Montevideo,Uruguay
2021-06-03,Argentina,Chile,1.0,1.0,False,FIFA World Cup qualification,Santiago del Estero,Argentina
2021-06-03,Peru,Colombia,0.0,3.0,False,FIFA World Cup qualification,Lima,Peru
